,NAME,ID,ALIGN,EYE,HAIR,SEX,GSM,APPEARANCES,YEAR,STUDIO
73,Harold Osborn (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Heterosexual,474,1965,MARVEL
74,Franklin Richards (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual,473,1968,MARVEL
75,Jessica Drew (Earth-616),Secret Identity,Good Characters,Green Eyes,Auburn Hair,Female Characters,Heterosexual,471,1977,MARVEL
76,Roberto da Costa (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Heterosexual,464,1982,MARVEL
77,Rahne Sinclair (Earth-616),Secret Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Heterosexual,448,1982,MARVEL
78,Elizabeth Ross (Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Heterosexual,446,1962,MARVEL
79,Lorna Dane (Earth-616),Secret Identity,Good Characters,Green Eyes,Green Hair,Female Characters,Heterosexual,433,1968,MARVEL
81,Johnathon Blaze (Earth-616),Secret Identity,Good Characters,Blue Eyes,Reddish Blond Hair,Male Characters,Heterosexual,426,1972,MARVEL
82,Sif (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Heterosexual,422,1964,MARVEL
83,Red Hulk (Thaddeus Ross),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,415,1962,MARVEL
84,Jubilation Lee (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Heterosexual,408,1989,MARVEL
85,Volstagg (Earth-616),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Heterosexual,406,1965,MARVEL
86,Balder Odinson (Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Heterosexual,403,1962,MARVEL
87,Galactus (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,No Hair,Male Characters,Heterosexual,390,1966,MARVEL
88,Danielle Moonstar (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Heterosexual,388,1982,MARVEL
89,Marc Spector (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual,387,1975,MARVEL
90,Gwendolyne Stacy (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual,384,1965,MARVEL
91,Medusalith Amaquelin (Earth-616),Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Heterosexual,382,1965,MARVEL
92,Sabretooth (Victor Creed),Secret Identity,Bad Characters,Amber Eyes,Blond Hair,Male Characters,Heterosexual,382,1977,MARVEL
93,Illyana Rasputina (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual,380,1975,MARVEL
94,Johann Shmidt (Earth-616),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual,376,1941,MARVEL
95,Fandral (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual,375,1965,MARVEL
96,Sean Cassidy (Earth-616),Secret Identity,Neutral Characters,Green Eyes,Strawberry Blond Hair,Male Characters,Heterosexual,374,1967,MARVEL
97,Thomas Raymond (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,373,1940,MARVEL
98,Uatu (Earth-616),Public Identity,Good Characters,Blue Eyes,Bald,Male Characters,Heterosexual,373,1963,MARVEL
99,Richard Rider (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual,373,1976,MARVEL
100,Hogun (Earth-616),Public Identity,Good Characters,Grey Eyes,Black Hair,Male Characters,Heterosexual,371,1965,MARVEL
101,Raven Darkholme (Earth-616),Secret Identity,Bad Characters,Yellow Eyes,Red Hair,Female Characters,Bisexual Characters,371,1978,MARVEL
102,Barbara Morse (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual,368,1971,MARVEL
103,Blackagar Boltagon (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,366,1965,MARVEL
104,Brunnhilde (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual,361,1970,MARVEL
105,Alison Blaire (Earth-616),Public Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,Heterosexual,353,1980,MARVEL
106,Venom (Symbiote) (Earth-616),Known to Authorities Identity,Neutral Characters,Variable Eyes,No Hair,Agender Characters,Heterosexual,348,1984,MARVEL
107,John Walker (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual,346,1986,MARVEL
108,Greer Grant (Earth-616),Public Identity,Good Characters,Green Eyes,Black Hair,Female Characters,Heterosexual,342,1972,MARVEL
109,Karla Sofen (Earth-616),Public Identity,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual,340,1975,MARVEL
110,William Baker (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual,338,1963,MARVEL
111,Sharon Carter (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual,332,1966,MARVEL
112,Felicia Hardy (Earth-616),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual,332,1979,MARVEL
113,Cain Marko (Earth-616),Public Identity,Neutral Characters,Blue Eyes,Red Hair,Male Characters,Heterosexual,329,1965,MARVEL
115,Maria Hill (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Heterosexual,325,2005,MARVEL
116,Ben Urich (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual,324,1978,MARVEL
117,Heather Douglas (Earth-616),Secret Identity,Good Characters,Blue Eyes,Bald,Female Characters,Bisexual Characters,323,1973,MARVEL
119,James Proudstar (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Heterosexual,320,1984,MARVEL
120,Angelica Jones (Earth-616),Known to Authorities Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Heterosexual,319,1985,MARVEL
121,Edward Brock (Earth-616),Public Identity,Neutral Characters,Black Eyes,Blond Hair,Male Characters,Heterosexual,318,1986,MARVEL
122,MacDonald Gargan (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Bald,Male Characters,Heterosexual,317,1964,MARVEL
123,Mephisto (Earth-616),No Dual Identity,Bad Characters,White Eyes,Black Hair,Male Characters,Heterosexual,316,1968,MARVEL
124,Tabitha Smith (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual,316,1985,MARVEL
125,Jean-Paul Beaubier (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Homosexual Characters,313,1979,MARVEL
126,Daniel Ketch (Earth-616),Secret Identity,Neutral Characters,Green Eyes,Brown Hair,Male Characters,Heterosexual,311,1990,MARVEL
127,Neena Thurman (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Heterosexual,310,1992,MARVEL
128,Wong (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Bald,Male Characters,Heterosexual,306,1963,MARVEL
129,Thanos (Earth-616),No Dual Identity,Bad Characters,Red Eyes,No Hair,Male Characters,Heterosexual,306,1973,MARVEL
130,Shang-Chi (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Heterosexual,296,1973,MARVEL
131,Alicia Masters (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Strawberry Blond Hair,Female Characters,Heterosexual,293,1962,MARVEL
132,Robert Baldwin (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual,293,1988,MARVEL
133,Vance Astrovik (Earth-616),Public Identity,Good Characters,Hazel Eyes,Brown Hair,Male Characters,Heterosexual,290,1975,MARVEL
134,Wendell Vaughn (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual,290,1978,MARVEL
136,Abner Jenkins (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual,284,1964,MARVEL
137,Elektra Natchios (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Female Characters,Heterosexual,280,1981,MARVEL
138,Bullseye (Lester) (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual,277,1976,MARVEL
139,Forge (Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Heterosexual,276,1984,MARVEL
140,Virginia Potts (Earth-616),No Dual Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Heterosexual,274,1963,MARVEL
141,Walter Langkowski (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual,273,1979,MARVEL
142,Gorgon (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual,272,1965,MARVEL
143,James Madrox (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual,271,1975,MARVEL
144,Heimdall (Earth-616),Secret Identity,Good Characters,Grey Eyes,Brown Hair,Male Characters,Heterosexual,270,1962,MARVEL
145,Theresa Cassidy (Earth-616),Secret Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Heterosexual,267,1981,MARVEL
146,Laura Kinney (Earth-616),Secret Identity,Good Characters,Green Eyes,Black Hair,Female Characters,Heterosexual,265,2004,MARVEL
147,Arthur Douglas (Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Heterosexual,264,1973,MARVEL
148,Peter Parker (Ben Reilly) (Earth-616),Secret Identity,Good Characters,Hazel Eyes,Blond Hair,Male Characters,Heterosexual,263,1975,MARVEL
149,Warlock (Technarch) (Earth-616),Secret Identity,Good Characters,Black Eyes,No Hair,Male Characters,Heterosexual,261,1984,MARVEL
150,Kevin Plunder (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual,260,1965,MARVEL
151,Leonard Samson (Earth-616),Public Identity,Good Characters,Brown Eyes,Green Hair,Male Characters,Heterosexual,260,1971,MARVEL
152,Melissa Gold (Earth-616),Secret Identity,Good Characters,Green Eyes,Blond Hair,Female Characters,Heterosexual,260,1979,MARVEL
153,Lockheed (Earth-616),Secret Identity,Good Characters,Blue Eyes,No Hair,Male Characters,Heterosexual,260,1983,MARVEL
154,Mercedes Knight (Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Heterosexual,259,1972,MARVEL
155,Moira Kinross (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Female Characters,Heterosexual,259,1975,MARVEL
156,Karnak (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Heterosexual,257,1965,MARVEL
157,Namorita Prentiss (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual,257,1972,MARVEL
158,Lockjaw (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual,255,1965,MARVEL
159,Adam Warlock (Earth-616),No Dual Identity,Good Characters,White Eyes,Gold Hair,Male Characters,Heterosexual,252,1967,MARVEL
160,Heather McNeil (Earth-616),Public Identity,Neutral Characters,Green Eyes,Red Hair,Female Characters,Heterosexual,252,1980,MARVEL
161,Curtis Connors (Earth-616),Public Identity,Neutral Characters,Red Eyes,No Hair,Male Characters,Heterosexual,250,1963,MARVEL
162,Theodore Sallis (Earth-616),Secret Identity,Good Characters,Red Eyes,No Hair,Male Characters,Heterosexual,249,1971,MARVEL
163,Adrian Toomes (Earth-616),Public Identity,Bad Characters,Hazel Eyes,Bald,Male Characters,Heterosexual,248,1963,MARVEL
164,Amora (Earth-616),Public Identity,Bad Characters,Green Eyes,Blond Hair,Female Characters,Heterosexual,247,1964,MARVEL
165,Clea (Earth-616),No Dual Identity,Good Characters,Blue Eyes,White Hair,Female Characters,Heterosexual,247,1964,MARVEL
166,Mar-Vell (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual,245,1967,MARVEL
167,Eugene Judd (Earth-616),Public Identity,Good Characters,Brown Eyes,Bald,Male Characters,Heterosexual,245,1983,MARVEL
168,Daimon Hellstrom (Earth-616),No Dual Identity,Neutral Characters,Red Eyes,Red Hair,Male Characters,Heterosexual,242,1973,MARVEL
169,John Jonah Jameson III (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Auburn Hair,Male Characters,Heterosexual,240,1963,MARVEL
170,Triton (Earth-616),No Dual Identity,Good Characters,Green Eyes,No Hair,Male Characters,Heterosexual,240,1965,MARVEL
171,Meggan Puceanu (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Heterosexual,240,1983,MARVEL
172,Robert Reynolds (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual,240,2000,MARVEL
173,Aleksei Sytsevich (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual,239,1966,MARVEL
174,Santo Vaccarro (Earth-616),Secret Identity,Good Characters,White Eyes,No Hair,Male Characters,Heterosexual,238,2003,MARVEL
175,Jonathan Clay (Earth-616),Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Homosexual Characters,237,1960,MARVEL
176,Ares (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Heterosexual,236,1949,MARVEL
177,Sersi (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Heterosexual,236,1976,MARVEL
178,Guido Carosella (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Bald,Male Characters,Heterosexual,236,1985,MARVEL
179,Zabu (Earth-616),Public Identity,Good Characters,Green Eyes,Orange Hair,Male Characters,Heterosexual,234,1965,MARVEL
180,Michael Morbius (Earth-616),Secret Identity,Neutral Characters,Red Eyes,Black Hair,Male Characters,Heterosexual,231,1971,MARVEL
181,Julio Richter (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Homosexual Characters,231,1987,MARVEL
182,Phoenix Force (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,No Hair,Unknown,Heterosexual,229,1976,MARVEL
183,Megan Gwynn (Earth-616),Public Identity,Good Characters,Black Eyeballs,Pink Hair,Female Characters,Heterosexual,229,2004,MARVEL
184,Kyle Richmond (Earth-616),Secret Identity,Good Characters,Brown Eyes,Auburn Hair,Male Characters,Heterosexual,227,1969,MARVEL
185,Karen Page (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual,226,1964,MARVEL
186,Tyrone Johnson (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Heterosexual,226,1982,MARVEL
187,Maxwell Dillon (Earth-616),Public Identity,Bad Characters,Blue Eyes,Auburn Hair,Male Characters,Heterosexual,225,1964,MARVEL
188,Valerie Cooper (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual,225,1983,MARVEL
189,Anna May (Earth-616),No Dual Identity,Good Characters,Blue Eyes,White Hair,Female Characters,Heterosexual,224,1964,MARVEL
190,Vlad Dracula (Earth-616),No Dual Identity,Bad Characters,Red Eyes,White Hair,Male Characters,Heterosexual,223,1951,MARVEL
191,Tandy Bowen (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual,222,1982,MARVEL
192,Monet St. Croix (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Heterosexual,221,1994,MARVEL
193,Gamora (Earth-616),No Dual Identity,Neutral Characters,Yellow Eyes,Black Hair,Female Characters,Heterosexual,218,1975,MARVEL
194,Amara Aquilla (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual,217,1983,MARVEL
195,Julia Carpenter (Earth-616),Secret Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,Heterosexual,212,1984,MARVEL
196,Jane Foster (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Female Characters,Heterosexual,211,1962,MARVEL
197,Mortimer Toynbee (Earth-616),Secret Identity,Neutral Characters,Black Eyes,Brown Hair,Male Characters,Heterosexual,210,1964,MARVEL
198,Scott Lang (Earth-616),Public Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,Heterosexual,209,1979,MARVEL
199,Paige Guthrie (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual,207,1984,MARVEL
200,Benjamin Parker (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Heterosexual,205,1962,MARVEL
201,Erik Josten (Earth-616),Secret Identity,Good Characters,Brown Eyes,Red Hair,Male Characters,Heterosexual,204,1965,MARVEL
202,Jeanne-Marie Beaubier (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Heterosexual,203,1979,MARVEL
203,Carl Creel (Earth-616),Public Identity,Bad Characters,Blue Eyes,Bald,Male Characters,Heterosexual,202,1964,MARVEL
205,Michael Twoyoungmen (Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Heterosexual,200,1979,MARVEL
206,Hope Summers (Earth-616),Secret Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Heterosexual,200,2008,MARVEL
207,Eric Masterson (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual,198,1988,MARVEL
208,Alexander Power (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual,197,1984,MARVEL
209,Matthew Hawk (Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Heterosexual,195,1962,MARVEL
